******0.981066	0.881937 @ round=2, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981066	0.881937 @ round=3, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981066	0.881937 @ round=4, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981066	0.881937 @ round=5, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981066	0.881937 @ round=6, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981066	0.881937 @ round=7, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981066	0.881937 @ round=8, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981066	0.881937 @ round=9, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981066	0.881937 @ round=10, C=1, lambda_L=1, lambda_D=1, thr=0
<==========  END @ 29-Nov-2012 10:27:56, C = 1, lambda_L = 1, lambda_D = 1, thr = 0, beta = 10000 ============>
<==========  BEGIN @ 29-Nov-2012 10:27:56, C = 1, lambda_L = 1, lambda_D = 1 , thr = 0, beta = 10000============>
******0.9813	0.895854 @ round=1, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981652	0.893832 @ round=2, C=1, lambda_L=1, lambda_D=1, thr=0
******0.982488	0.895854 @ round=3, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980303	0.890799 @ round=4, C=1, lambda_L=1, lambda_D=1, thr=0
******0.98082	0.895854 @ round=5, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980856	0.892315 @ round=6, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981303	0.891304 @ round=7, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980948	0.892821 @ round=8, C=1, lambda_L=1, lambda_D=1, thr=0
******0.98094	0.892821 @ round=9, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981456	0.898382 @ round=10, C=1, lambda_L=1, lambda_D=1, thr=0
<==========  END @ 29-Nov-2012 10:28:03, C = 1, lambda_L = 1, lambda_D = 1, thr = 0, beta = 10000 ============>
<==========  BEGIN @ 29-Nov-2012 10:28:03, C = 1, lambda_L = 1, lambda_D = 1 , thr = 0, beta = 10000============>
******0.982781	0.89767 @ round=1, C=1, lambda_L=1, lambda_D=1, thr=0
******0.982212	0.892097 @ round=2, C=1, lambda_L=1, lambda_D=1, thr=0
